vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/16)
2.600000000000000e+01	6.557425e+00	2.600000e+01	1.544256e+00
2.800000000000000e+01	6.553162e+00	2.800000e+01	1.544683e+00
3.000000000000000e+01	6.549563e+00	3.000000e+01	1.545043e+00
Step Information: Vdd=24  (Step: 13/16)
0.000000000000000e+00	2.400000e+01	0.000000e+00	2.679818e-11
2.000000000000000e+00	2.350379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	1.716324e+01	4.000000e+00	6.837291e-01
6.000000000000000e+00	9.135129e+00	6.000000e+00	1.486645e+00
8.000000000000000e+00	7.466739e+00	8.000000e+00	1.653325e+00
1.000000000000000e+01	7.322769e+00	1.000000e+01	1.667721e+00
1.200000000000000e+01	7.260700e+00	1.200000e+01	1.673930e+00
1.400000000000000e+01	7.225702e+00	1.400000e+01	1.676878e+00
1.600000000000000e+01	7.203242e+00	1.600000e+01	1.679557e+00
1.800000000000000e+01	7.187540e+00	1.800000e+01	1.681212e+00
2.000000000000000e+01	7.175944e+00	2.000000e+01	1.682393e+00
2.200000000000000e+01	7.167028e+00	2.200000e+01	1.683292e+00
2.400000000000000e+01	7.159958e+00	2.400000e+01	1.684002e+00
2.600000000000000e+01	7.154213e+00	2.600000e+01	1.684577e+00
2.800000000000000e+01	7.149454e+00	2.800000e+01	1.685054e+00
3.000000000000000e+01	7.145445e+00	3.000000e+01	1.685455e+00
Step Information: Vdd=26  (Step: 14/16)
0.000000000000000e+00	2.600000e+01	0.000000e+00	2.879836e-11
2.000000000000000e+00	2.550379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	1.916324e+01	4.000000e+00	6.837291e-01
6.000000000000000e+00	1.113513e+01	6.000000e+00	1.486645e+00
8.000000000000000e+00	8.128366e+00	8.000000e+00	1.787163e+00
1.000000000000000e+01	7.946029e+00	1.000000e+01	1.805396e+00
1.200000000000000e+01	7.872312e+00	1.200000e+01	1.812768e+00
1.400000000000000e+01	7.831779e+00	1.400000e+01	1.815993e+00
1.600000000000000e+01	7.806157e+00	1.600000e+01	1.819217e+00
1.800000000000000e+01	7.788399e+00	1.800000e+01	1.821114e+00
2.000000000000000e+01	7.775366e+00	2.000000e+01	1.822447e+00
2.200000000000000e+01	7.765393e+00	2.200000e+01	1.823454e+00
2.400000000000000e+01	7.757513e+00	2.400000e+01	1.824245e+00
2.600000000000000e+01	7.751129e+00	2.600000e+01	1.824885e+00
