vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/21)
2.000000000000000e+01	5.441696e+00	2.000000e+01	2.558301e+03
Step Information: Vdd=9  (Step: 10/21)
0.000000000000000e+00	9.000000e+00	0.000000e+00	1.421085e-11
1.000000000000000e+00	9.000000e+00	1.000000e+00	1.421090e-11
2.000000000000000e+00	9.000000e+00	2.000000e+00	2.325229e-08
3.000000000000000e+00	8.997429e+00	3.000000e+00	2.571878e+00
4.000000000000000e+00	8.853256e+00	4.000000e+00	1.467438e+02
5.000000000000000e+00	8.545608e+00	5.000000e+00	4.543929e+02
6.000000000000000e+00	8.136485e+00	6.000000e+00	8.646687e+02
7.000000000000000e+00	7.656017e+00	7.000000e+00	1.344567e+03
8.000000000000000e+00	7.124823e+00	8.000000e+00	1.875479e+03
9.000000000000000e+00	6.597448e+00	9.000000e+00	2.402504e+03
1.000000000000000e+01	6.415632e+00	1.000000e+01	2.584364e+03
1.100000000000000e+01	6.329752e+00	1.100000e+01	2.670215e+03
1.200000000000000e+01	6.275954e+00	1.200000e+01	2.724046e+03
1.300000000000000e+01	6.238183e+00	1.300000e+01	2.761054e+03
1.400000000000000e+01	6.210049e+00	1.400000e+01	2.789681e+03
1.500000000000000e+01	6.188085e+00	1.500000e+01	2.811807e+03
1.600000000000000e+01	6.170412e+00	1.600000e+01	2.829536e+03
1.700000000000000e+01	6.155858e+00	1.700000e+01	2.844116e+03
1.800000000000000e+01	6.143646e+00	1.800000e+01	2.856339e+03
1.900000000000000e+01	6.133245e+00	1.900000e+01	2.866747e+03
2.000000000000000e+01	6.124272e+00	2.000000e+01	2.875723e+03
Step Information: Vdd=10  (Step: 11/21)
0.000000000000000e+00	1.000000e+01	0.000000e+00	1.480297e-11
1.000000000000000e+00	1.000000e+01	1.000000e+00	1.480302e-11
2.000000000000000e+00	1.000000e+01	2.000000e+00	2.346608e-08
3.000000000000000e+00	9.997406e+00	3.000000e+00	2.594938e+00
4.000000000000000e+00	9.852171e+00	4.000000e+00	1.478295e+02
5.000000000000000e+00	9.542665e+00	5.000000e+00	4.573349e+02
6.000000000000000e+00	9.131427e+00	6.000000e+00	8.697420e+02
7.000000000000000e+00	8.648725e+00	7.000000e+00	1.351866e+03
8.000000000000000e+00	8.115250e+00	8.000000e+00	1.885054e+03
9.000000000000000e+00	7.543596e+00	9.000000e+00	2.456579e+03
1.000000000000000e+01	7.181190e+00	1.000000e+01	2.817229e+03
1.100000000000000e+01	7.059971e+00	1.100000e+01	2.938738e+03
1.200000000000000e+01	6.990355e+00	1.200000e+01	3.009643e+03
1.300000000000000e+01	6.943171e+00	1.300000e+01	3.055323e+03
1.400000000000000e+01	6.908895e+00	1.400000e+01	3.090616e+03
1.500000000000000e+01	6.882512e+00	1.500000e+01	3.117308e+03
1.600000000000000e+01	6.861506e+00	1.600000e+01	3.138413e+03
1.700000000000000e+01	6.844343e+00	1.700000e+01	3.155616e+03
1.800000000000000e+01	6.830034e+00	1.800000e+01	3.169943e+03
1.900000000000000e+01	6.817908e+00	1.900000e+01	3.182080e+03
2.000000000000000e+01	6.807490e+00	2.000000e+01	3.192502e+03
Step Information: Vdd=11  (Step: 12/21)
0.000000000000000e+00	1.100000e+01	0.000000e+00	1.598721e-11
1.000000000000000e+00	1.100000e+01	1.000000e+00	1.598726e-11
2.000000000000000e+00	1.100000e+01	2.000000e+00	2.368045e-08
3.000000000000000e+00	1.099738e+01	3.000000e+00	2.617988e+00
4.000000000000000e+00	1.085109e+01	4.000000e+00	1.489115e+02
5.000000000000000e+00	1.053974e+01	5.000000e+00	4.602623e+02
6.000000000000000e+00	1.012640e+01	6.000000e+00	8.747850e+02
7.000000000000000e+00	9.641480e+00	7.000000e+00	1.359116e+03
8.000000000000000e+00	9.105747e+00	8.000000e+00	1.894560e+03
9.000000000000000e+00	8.531806e+00	9.000000e+00	2.468370e+03
1.000000000000000e+01	7.988481e+00	1.000000e+01	3.010441e+03
1.100000000000000e+01	7.803227e+00	1.100000e+01	3.196769e+03
1.200000000000000e+01	7.711212e+00	1.200000e+01	3.288761e+03
1.300000000000000e+01	7.652040e+00	1.300000e+01	3.344708e+03
1.400000000000000e+01	7.610451e+00	1.400000e+01	3.388634e+03
1.500000000000000e+01	7.578932e+00	1.500000e+01	3.420774e+03
1.600000000000000e+01	7.554125e+00	1.600000e+01	3.445746e+03
1.700000000000000e+01	7.534038e+00	1.700000e+01	3.465900e+03
1.800000000000000e+01	7.517405e+00	1.800000e+01	3.482563e+03
1.900000000000000e+01	7.503385e+00	1.900000e+01	3.496597e+03
2.000000000000000e+01	7.491395e+00	2.000000e+01	3.508594e+03
Step Information: Vdd=12  (Step: 13/21)
0.000000000000000e+00	1.200000e+01	0.000000e+00	1.717145e-11
1.000000000000000e+00	1.200000e+01	1.000000e+00	1.717150e-11
